,Time,Programme,ML,IR,Stat,DB,Gender,Chocolate,Birthday,Neighbours,Stand up,Stress,Self esteem,RN,Bedtime,GD1,GD2,GD1-NLTK,GD1-FLAIR,GD2-NLTK,GD2-FLAIR,Bedtime_Hour_c,Stress_c,Self esteem_c,Programme_c,Neighbors_c,Birthday_c,Birthdate_dm_c,Age,RN_c
26,3/29/2021 9:41:50,Linguistics: Text Mining,yes,0,mu,nee,female,neither,13-02-1998,4,unknown,70,50,13,2 am,A productive study/work day,Inner peace,0.0,0.996,0.5423,0.997,2,70,50.0,CS,4,13-2-1998,13-2,23,10
27,3/29/2021 10:09:42,Bioinformatics and Systems Biology,no,0,mu,nee,female,fat,04-11-1997,0,no,12,2,6.7,22:54,Nice wheather,Seeing my boyfriend,0.4215,0.999,0.0,0.999,22,12,2.0,BI,0,11-4-1997,11-4,24,0
28,3/29/2021 10:29:23,BA,yes,1,mu,nee,male,neither,13-07-1999,0,no,30,1,6,23:30,Sunny weather,Coffee,0.4215,0.995,0.0,0.894,23,30,1.0,BA,0,13-7-1999,13-7,22,6
29,3/29/2021 10:39:02,Master Bioinformatics & Systems Biology,yes,0,mu,nee,male,slim,20051989,1,no,30,100,1998,22,Enjoy the sun.,Share some laughts.,0.4939,0.997,0.296,0.999,22,30,100.0,BI,1,,,0,10
30,3/29/2021 10:49:15,Master in Computational Science,yes,1,mu,ja,male,fat,1996-12-28,0,no,90,20,0,0,sun,no rain,0.0,0.99,-0.296,0.685,0,90,20.0,CLS,0,28-12-1996,28-12,25,0
31,3/29/2021 11:00:34,Python,yes,0,mu,ja,male,fat,10/30/1997,0,no,70,50,8,00:30,laughing,working out,0.4939,0.999,0.0,0.988,0,70,50.0,other,0,30-10-1997,30-10,24,8
32,3/29/2021 11:16:17,Msc Econometrics and Operations Research,no,1,mu,nee,male,fat,26-1-1998,0,no,0,20,10,00:00,sunny weather,wake up happy,0.4215,0.995,0.5719,0.992,0,0,20.0,Econometrics,0,26-1-1998,26-1,23,10
33,3/29/2021 11:19:21,Computational science,no,0,mu,ja,male,neither,11-11-1997,0:(,no,5,70,11,12:30,Sunshine,Friends,0.4939,0.998,0.4767,0.996,24,5,70.0,CLS,0,11-11-1997,11-11,24,10
34,3/29/2021 11:22:24,Computational Science,yes,0,mu,ja,female,slim,21 nov,1,no,10,5,3,23:30,Meeting with friends,Coffee to go in corona times,0.4767,0.996,0.0,0.995,23,10,5.0,CLS,1,,21-11,0,3
35,3/29/2021 11:30:19,Computational Science,yes,0,sigma,ja,male,fat,July 18th,3,no,67,1,-518,22:45,Doing physical activities (games) with friends in a park on sunny day with some alcoholic beverages.,Winning a competitive korfbal match after putting in a good performance.,0.7096,0.998,0.7906,1.0,22,67,1.0,CLS,3,,18-7,0,0
36,3/29/2021 11:39:25,rMA Human Language Technology,yes,0,mu,nee,female,I have no idea what you are talking about,14-08-1995,1,no,50,10,7,11PM,Take a walk in nature,Good chat with friends and drinks,0.0,0.989,0.7184,0.983,23,50,10.0,HLT,1,14-8-1995,14-8,26,7
37,3/29/2021 12:45:18,Human Language Technology (Research Master Linguistics),yes,0,mu,nee,female,neither,27-03-1999,0,no,40,5 euros,7,23:30,Sunshine,Good night's sleep,0.4939,0.998,0.4404,0.94,23,40,5.0,HLT,0,27-3-1999,27-3,22,7
38,3/29/2021 13:05:02,Econometrics and Operations Research,yes,0,mu,nee,male,fat,"March 6, 1999",0,no,30,8,6,01:00,weather,girlfriend,0.0,0.537,0.0,0.958,1,30,8.0,Econometrics,0,6-3-1999,6-3,22,6
39,3/29/2021 13:06:57,Econometrics & Data Science,yes,0,mu,nee,male,neither,08-04-1998,0,no,0,80,020,02:00,Being productive,Meeting friends,0.0,0.99,0.4767,0.998,2,0,80.0,Econometrics,0,4-8-1998,4-8,23,10
40,3/29/2021 13:16:49,MSc Artificial Intelligence,yes,0,mu,nee,male,fat,17-06-1994,0,no,20,18,53,23:30,sunshine,sport,0.4939,0.998,0.0,0.998,23,20,18.0,AI,0,17-6-1994,17-6,27,10
41,3/29/2021 13:27:23,Econometrics and Operation Research,no,0,mu,ja,male,fat,14-1,2,no,50,10,41,11pm,good weather,having a good breakfast,0.4404,0.958,0.4404,0.97,23,50,10.0,Econometrics,2,,14-1,0,10
42,3/29/2021 13:43:38,Econometrics & Operations Research,yes,0,mu,ja,male,neither,18-06-1996,0,no,12,0.5,47,11:45,Good food,Sex,0.4404,0.993,0.0,0.998,23,12,0.5,Econometrics,0,18-6-1996,18-6,25,10
43,3/29/2021 13:47:45,QRM,no,0,mu,nee,female,fat,8th of August,0,no,60,More,8,0.3,Getting all the work done that I've planned,Seeing my friends and family,0.0,0.998,0.4767,0.999,0,60,100.0,QRM,0,,8-8,0,8
44,3/29/2021 13:50:14,MSc Artificial Intelligence @UvA,yes,1,mu,ja,male,fat,04/04/1998,2,no,55,< 100,4,01:00,music,music,0.0,0.997,0.0,0.997,1,55,100.0,AI,2,4-4-1998,4-4,23,4
45,3/29/2021 13:53:03,Business Analytics,yes,1,mu,nee,male,I have no idea what you are talking about,24-06-1993,0,no,78,0,98374589398273479539792837298436928579320394,8,Saturday,Monday,0.0,0.912,0.0,0.671,8,78,0.0,BA,0,24-6-1993,24-6,28,10
46,3/29/2021 13:53:38,Artificial Intelligence,no,0,mu,nee,male,I have no idea what you are talking about,1-1-1997,0,no,1,100,1,2am,food,more food,0.0,1.0,0.0,0.999,2,1,100.0,AI,0,1-1-1997,1-1,24,1
47,3/29/2021 13:56:26,CS,yes,0,mu,nee,male,fat,16-11-1995,0,no,25,1,6,01:00,Family,Rice/Pasta for dinner,0.0,0.995,0.0,0.998,1,25,1.0,CS,0,16-11-1995,16-11,26,6
48,3/29/2021 14:01:59,Linguistics Text Mining ,yes,1,sigma,nee,female,I have no idea what you are talking about,September 19 ,0,no,90,50,9,22:00,sun ,exercise,0.0,0.99,0.0,-0.976,22,90,50.0,CS,0,,19-9,0,9
49,3/29/2021 14:07:33,Econometrics,no,0,mu,nee,male,fat,25 June,2,no,70,20,5,11.3,Going out,not working,0.0,-0.535,0.0,-0.999,23,70,20.0,Econometrics,2,,25-6,0,5
50,3/29/2021 14:16:20,EDS,yes,unknown,mu,ja,male,fat,16 November,0,no,12,1 euro,7,23:30,No stress,Holidays,-0.6124,0.998,0.3818,0.981,23,12,1.0,EDS,0,,16-11,0,7
51,3/29/2021 14:30:16,Econometrics,yes,0,mu,nee,male,neither,06-10-1998,0,unknown,31,"0,5",4,22:27,Sun,Sporting,0.0,0.99,0.0,0.996,22,31,0.0,Econometrics,0,10-6-1998,10-6,23,4
52,3/29/2021 14:32:57,AI,no,0,mu,ja,female,neither,20-11-1999,0,no,35,10,10,02:30,Free time,Social activity,0.5106,0.805,0.0,0.999,2,35,10.0,AI,0,20-11-1999,20-11,22,10
53,3/29/2021 14:35:19,AI,yes,1,mu,ja,female,fat,15-11-1998,0,no,80,€5,9,00:20,Getting everything done that needed to be done,Chilling in the sun,0.0,0.998,-0.0258,0.999,0,80,5.0,AI,0,15-11-1998,15-11,23,9
54,3/29/2021 14:40:38,AI,yes,0,mu,nee,female,neither,15-08,2,no,50,1,5,02:00,Seeing friends and family that I love,"Calmth, positivity, learning/reading",0.8074,0.998,0.5106,0.997,2,50,1.0,AI,2,,15-8,0,5
55,3/29/2021 14:44:22,BA,yes,1,mu,ja,male,fat,1998,2,no,10,20,3,22:30,nice weather,walk on the beach,0.4215,0.973,0.0,0.995,22,10,20.0,BA,2,,,0,3
56,3/29/2021 14:49:24,Finance & Technology,yes,0,mu,nee,male,fat,28-01-1997,0,no,0,20,2,23,Soccer,Sun,0.0,0.991,0.0,0.99,23,0,20.0,FT,0,28-1-1997,28-1,24,2
57,3/29/2021 15:00:11,Bioinformatics and Systems Biology,yes,0,mu,ja,female,fat,03-02-1999,1,no,75,10,37,23:30,When I have seen/spoken to my loved ones,When I feel like my day has been productive but not too stresfull ,0.5994,0.994,0.1901,0.958,23,75,10.0,BI,1,2-3-1999,2-3,22,10
58,3/29/2021 15:03:24,Master Artificial Intelligence,no,0,mu,nee,male,fat,20-09-1992,0,no,100,1,938,5:25,Rest,Nothing,0.0,-0.992,0.0,-0.965,5,100,1.0,AI,0,20-9-1992,20-9,29,10
59,3/29/2021 15:04:18,Quantitative Risk Management ,no,0,unknown,nee,male,fat,16-05-1996,1,no,50,20,69,23:30,Efficiency,Accomplishment,0.3612,0.999,0.0,0.998,23,50,20.0,QRM,1,16-5-1996,16-5,25,10
60,3/29/2021 15:05:00,Quantitative Risk Management ,no,0,unknown,nee,male,fat,16-05-1996,1,no,50,20,69,23:30,Efficiency,Accomplishment,0.3612,0.999,0.0,0.998,23,50,20.0,QRM,1,16-5-1996,16-5,25,10
61,3/29/2021 15:05:38,Econometrics & Operation Research master,yes,1,mu,ja,male,neither,26-08,0,yes,60,30,7,22:30,8 hours of sleep,Friendly people,0.0,-0.998,0.4939,0.987,22,60,30.0,Econometrics,0,,26-8,0,7
62,3/29/2021 15:09:54,QRM,no,0,mu,nee,male,fat,16-05-1996,1,no,50,20,7,23:30,Efficiency,Accomplishment,0.3612,0.999,0.0,0.998,23,50,20.0,QRM,1,16-5-1996,16-5,25,7
63,3/29/2021 15:35:37,CS,yes,0,mu,unknown,female,neither,05-10,1,no,20,15,6,03:00,swimming,beer,0.0,0.993,0.0,0.939,3,20,15.0,CS,1,,10-5,0,6
64,3/29/2021 15:41:09,M AI,yes,1,mu,ja,female,I have no idea what you are talking about,nunya,0,no,40,0,1,3:30,a good night's sleep,a relaxed morning,0.4404,0.977,0.4939,0.971,3,40,0.0,AI,0,,,0,1
65,3/29/2021 16:23:33,OR,no,0,mu,nee,male,neither,09/09/1996,0,no,77,5,4,02:00,No work/free time,Beautiful weather,-0.296,-0.973,0.5994,0.992,2,77,5.0,other,0,9-9-1996,9-9,25,4
66,3/29/2021 16:35:14,Master Bioinformatics & Systems Biology,yes,0,mu,nee,male,neither,04/07,0,no,15,99,11,0,Fun activities,Good food,0.5106,0.997,0.4404,0.993,0,15,99.0,BI,0,,7-4,0,10
67,3/29/2021 16:35:49,Finance and technology,yes,0,mu,nee,male,fat,15-08-1994,0,no,60,20,8,2,Warm weather,enough food,0.2263,0.957,0.0,0.979,2,60,20.0,FT,0,15-8-1994,15-8,27,8
68,3/29/2021 16:35:57,BA,yes,1,mu,ja,male,fat,27/10/1995,0,no,60,1000,7,23:00,Hanging out with friends,watching sports,0.4767,0.998,0.0,0.998,23,60,100.0,BA,0,27-10-1995,27-10,26,7
69,3/29/2021 16:46:51,Econometrics & Operations Research,yes,0,mu,nee,male,neither,02-07-1998,0,no,38,enough to buy a 3-series,43,01:30,Good breakfast,Outdoor activity,0.4404,0.975,0.0,0.999,1,38,100.0,Econometrics,0,7-2-1998,7-2,23,10
70,3/29/2021 16:49:13,Climate econometrics,yes,0,mu,nee,female,neither,01/02/1993,0,no,30,10,4444,23:00,Walking in the sun,Eating good food,0.0,0.935,0.4404,0.989,23,30,10.0,Econometrics,0,2-1-1993,2-1,28,10
71,3/29/2021 16:51:39,CS,no,0,mu,unknown,male,slim,10-05-1999,1,no,5,1,5,3,sleep,people,0.0,-0.989,0.0,0.982,3,5,1.0,CS,1,5-10-1999,5-10,22,5
72,3/29/2021 17:35:57,Duisenberg Honours: QRM,no,0,mu,nee,male,neither,22/09/1996,0,no,50,1,314,00h30,No Stress,Be able to relax,-0.6124,0.998,0.4404,0.996,0,50,1.0,QRM,0,22-9-1996,22-9,25,10
73,3/29/2021 17:47:11,BA,yes,0,mu,nee,male,fat,13-12-1994,0,no,35,10,7,0.3,If I completed all my tasks which I set for the day.,When I have spoken with/seen at least some friends or relatives that day. ,0.0,0.988,0.4767,0.707,0,35,10.0,BA,0,13-12-1994,13-12,27,7
74,3/29/2021 17:56:51,AI,yes,0,mu,nee,male,neither,05-01-1998,0,no,0,100/n,5,2230,Sun,Food,0.0,0.99,0.0,1.0,23,0,0.0,AI,0,1-5-1998,1-5,23,5
75,3/29/2021 17:58:00,Medical Informatics,yes,1,mu,ja,male,fat,1996,0,no,10,5,0711,2300,sport,sun,0.0,0.998,0.0,0.99,23,10,5.0,CS,0,,,0,10
76,3/29/2021 18:02:48,Master Artificial Intelligence,yes,1,mu,ja,male,neither,15/09/1999,0,no,10,1,6,1:00,No obligations,A good night of sleep,-0.296,0.653,0.4404,0.979,1,10,1.0,AI,0,15-9-1999,15-9,22,6
77,3/29/2021 18:21:02,Business analytics ,yes,0,mu,ja,female,fat,01-07-1998,1,no,40,50,75,22:30,A long walk outside,Getting things done,0.0,0.851,0.0,0.996,22,40,50.0,BA,1,7-1-1998,7-1,23,10
78,3/29/2021 19:01:05,Mathematics,yes,0,mu,ja,female,neither,30-07,0,no,60,10,7,23,Sun,Social contacts,0.0,0.99,0.0,0.999,23,60,10.0,CS,0,,30-7,0,7
79,3/29/2021 19:35:58,Business Analytics,yes,unknown,mu,ja,male,fat,22-10-1994,0,no,60,1,69,23:30,Sun,Tennis,0.0,0.99,0.0,0.98,23,60,1.0,BA,0,22-10-1994,22-10,27,10
80,3/29/2021 19:56:04,BA,yes,0,mu,ja,male,neither,23-02-1999,float(inf),unknown,99,101,2,To late,Payday,The day that I paid my rent and don't have a red valued bank account.,0.0,0.84,-0.3412,-0.983,23,99,100.0,BA,0,23-2-1999,23-2,22,2
81,3/29/2021 19:57:32,Research Masters Human Language Technology,yes,0,sigma,ja,male,fat,06/10/1995,0,no,40,70,6,0:30,Nice weather and a run,Playing music with friends,0.4215,0.909,0.5994,0.993,0,40,70.0,HLT,0,10-6-1995,10-6,26,6
82,3/29/2021 20:04:52,BA,yes,0,mu,unknown,female,fat,20-01-1997,2,no,80,50,8,23:40,weather ,Being with friends or family,0.0,0.537,0.4767,0.999,23,80,50.0,BA,2,20-1-1997,20-1,24,8
83,3/29/2021 20:09:38,Finance and Technology,yes,unknown,unknown,nee,male,fat,03-12-1996,0,no,20,100/#participants,6,23:10,sports,good food,0.0,0.998,0.4404,0.993,23,20,0.0,FT,0,12-3-1996,12-3,25,6
84,3/29/2021 20:33:29,Artificial intelligence,yes,0,mu,ja,male,fat,22.02.1996,0,unknown,10,20,1,23:00,Sun,Productivity,0.0,0.99,0.0,0.997,23,10,20.0,AI,0,22-2-1996,22-2,25,1
85,3/29/2021 20:53:49,BA,yes,0,mu,nee,male,slim,10-09-1998,0,no,5,0,9,00:00,Sport,Progress towards a goal,0.0,0.998,0.4215,1.0,0,5,0.0,BA,0,9-10-1998,9-10,23,9
86,3/29/2021 21:09:39,Computational Sciences,no,0,mu,nee,male,neither,21-03-96,0,no,31,0,3,23:59,Sun,Fun,0.0,0.99,0.5106,0.987,23,31,0.0,CLS,0,21-3-1996,21-3,25,3
87,3/29/2021 21:16:04,Econometrics and data science ,yes,unknown,mu,nee,female,fat,02-06-1998,2,no,41,37,8679,23:30,Sunshine ,Good food,0.4939,0.998,0.4404,0.993,23,41,37.0,Econometrics,2,6-2-1998,6-2,23,10
88,3/29/2021 21:23:01,Master in Computational Science,no,1,mu,ja,female,fat,26/03/1998,0,no,85,5,13,00:36,a nice meal,the sun,0.4215,0.993,0.0,1.0,0,85,5.0,CLS,0,26-3-1998,26-3,23,10
89,3/29/2021 21:30:30,BA,yes,0,mu,nee,female,neither,17 september 1996,2,no,60,60,7,23.15,Sun,Happy people/friends,0.0,0.99,0.5719,0.996,23,60,60.0,BA,2,17-9-1996,17-9,25,7
90,3/29/2021 21:53:06,AI,no,0,mu,nee,female,neither,16-12-1992,0,no,85,5,9,03:00,Day off,Good company,0.0,-0.646,0.4404,0.99,3,85,5.0,AI,0,16-12-1992,16-12,29,9
91,3/29/2021 21:57:42,Computational Science,no,0,mu,nee,female,neither,18,0,no,70,50,7,12,sunny,enough sleep,0.4215,0.999,0.0,-0.609,24,70,50.0,CLS,0,,1-8,0,7
92,3/29/2021 22:11:39,Artificial intelligence,no,0,mu,ja,male,fat,17-01-1996,3,no,70,100,00000,0.30 am,get a good grade,a sunny day,0.4404,0.975,0.4215,0.998,0,70,100.0,AI,3,17-1-1996,17-1,25,0
93,3/29/2021 22:17:34,Computational Science,no,0,mu,nee,male,neither,11-12-1994,0,unknown,45,10,96465121,22:15,Talking and being around friends and loved ones,When $GME goes up 69%      HODL ON,0.7906,0.999,0.0,-1.0,22,45,10.0,CLS,0,12-11-1994,12-11,27,10
94,3/29/2021 22:39:12,AI,yes,1,mu,ja,male,I have no idea what you are talking about,27-01-1996,0,no,45,100,5,2,productivity,good food,0.0,0.997,0.4404,0.993,2,45,100.0,AI,0,27-1-1996,27-1,25,5
95,3/29/2021 22:50:20,Msc AI,no,0,mu,nee,male,neither,17-09-1997,0,no,30,0,1,23:30,Good sleep,Meet friends,0.4404,0.907,0.4767,0.993,23,30,0.0,AI,0,17-9-1997,17-9,24,1
96,3/29/2021 22:58:34,AI,no,unknown,mu,nee,female,fat,04-04-98,0,no,65,1,10,1 am,No stressing about deadlines,Take a nice walk,-0.5719,0.997,0.4215,0.849,1,65,1.0,AI,0,4-4-1998,4-4,23,10
97,3/29/2021 22:58:38,ai,no,0,mu,nee,male,fat,15/01/1996,1,no,25,50,8,3am,happy,productive,0.5719,0.984,0.0,0.995,3,25,50.0,AI,1,15-1-1996,15-1,25,8
98,3/29/2021 23:02:41,Artificial Intelligence MSc,yes,1,mu,ja,male,neither,03/12/1997,0,unknown,35,70,3,1am,good rest,social,0.4404,0.68,0.0,0.993,1,35,70.0,AI,0,12-3-1997,12-3,24,3
99,3/29/2021 23:03:17,BA,yes,0,mu,ja,female,fat,13-10-1998,0,no,66,I believe that the money should be split equally,7,00:30,Nice weather,Being with my friends,0.4215,0.973,0.4767,0.999,0,66,0.0,BA,0,13-10-1998,13-10,23,7
100,3/29/2021 23:24:53,AI,no,1,mu,ja,male,fat,1993,0,no,30,70,8,01:30,Low stresslevels,Hanging out with friends,-0.2732,0.873,0.4767,0.998,1,30,70.0,AI,0,,,0,8
101,3/29/2021 23:27:11,QRM,no,0,mu,nee,male,fat,08-10-1997,1,no,0,0,3417,02:00,Good food,Good mood,0.4404,0.993,0.4404,0.992,2,0,0.0,QRM,1,10-8-1997,10-8,24,10
102,3/29/2021 23:32:18,Msc. Finance and Technology,yes,0,mu,nee,male,slim,17-jan-1996,0,no,50,25,5,03:00,Ice cream,No deadlines for the subsequent days,0.0,0.999,-0.296,0.541,3,50,25.0,FT,0,17-1-1996,17-1,25,5
103,3/29/2021 23:41:02,Business Analytics,yes,0,mu,nee,male,neither,01-08,0,no,60,1,7,00:15,Enough sleep,Good food,0.0,-0.609,0.4404,0.993,0,60,1.0,BA,0,,8-1,0,7
104,3/29/2021 23:53:22,Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,29-07-1997,0,no,21,0.22,5,22:55,"wake up early, be productive and relax with friends in evening",Learning something new,0.7184,0.983,0.0,1.0,22,21,0.22,Econometrics,0,29-7-1997,29-7,24,5
105,3/30/2021 2:59:37,CS,no,0,sigma,ja,male,neither,02.05.1999,5,no,75,0,7,4AM,no stress,good weather,-0.6124,0.998,0.4404,0.958,4,75,0.0,CS,5,5-2-1999,5-2,22,7
106,3/30/2021 3:36:10,bioinformatics and system biology,yes,0,mu,ja,male,I have no idea what you are talking about,1998.7.7,1,no,65,0,45,5,1,2,0.0,0.89,0.0,0.92,5,65,0.0,BI,1,7-7-1998,7-7,23,10
107,3/30/2021 6:33:02,QRM,no,0,mu,ja,male,unknown,00/00/0000,0,no,20,0,9,7.30am,no exams or deadlines,plenty of sleep,-0.296,0.849,0.0,0.881,7,20,0.0,QRM,0,,,0,9
108,3/30/2021 8:20:19,Bioinformatics and Systems Biology,yes,0,mu,nee,male,neither, ,0,no,80,1 euro,4,24,sunshine,music,0.4939,0.998,0.0,0.997,24,80,1.0,BI,0,,,0,4
109,3/30/2021 8:44:31,CS,yes,1,mu,ja,male,neither,27/07,1,no,17,65,17,22:45,odd jobs,sports,-0.3182,0.596,0.0,0.998,22,17,65.0,CS,1,,27-7,0,10
110,3/30/2021 9:16:58,Research Master Human Movement Sciences (FGB),no,0,mu,nee,female,neither,08-07-1993,1,no,10,0,8,23h15,sun,exercise,0.0,0.99,0.0,-0.976,23,10,0.0,HLT,1,7-8-1993,7-8,28,8
111,3/30/2021 9:20:47,computational science,no,0,mu,ja,male,fat,06-24,0,yes,50,60,7,1:00,no lecture,beautiful scenery,-0.296,-0.741,0.5994,0.998,1,50,60.0,CLS,0,,24-6,0,7
112,3/30/2021 9:22:43,Mathematics,no,0,mu,nee,female,fat,27 - 11 - 1995,0,no,67,2,7,22:45,tea,icecream,0.0,0.979,0.0,0.878,22,67,2.0,CS,0,27-11-1995,27-11,26,7
113,3/30/2021 9:30:43,BA,yes,1,mu,ja,unknown,slim,01-02-1997,0,no,50,1,69,0:00,sun,no deadlines,0.0,0.99,-0.296,0.99,0,50,1.0,BA,0,2-1-1997,2-1,24,10
114,3/30/2021 9:30:59,Master Artificial Intelligence,yes,0,mu,nee,female,I have no idea what you are talking about,23/01/1998,1,no,55,0,114,23:00,Playing sports,Good food,0.2023,0.999,0.4404,0.993,23,55,0.0,AI,1,23-1-1998,23-1,23,10
115,3/30/2021 9:40:31,CS,no,1,mu,ja,male,fat,-,0,no,60,65,8,23:50,Free time,Being outside,0.5106,0.805,0.0,-0.829,23,60,65.0,CS,0,,,0,8
